V1,type,a,b,c
sigma,1,1.00E-06,2,1
theta,1,1.00E-06,1,1
kai,1,1.00E-06,5,1
inv_zeta,1,1.00E-06,1,1
mu,1,1.00E-06,2,1
phi_o_y,1,1.00E-06,1,1
gamma_w,1,1.00E-06,1,1
ksi_w,1,1.00E-06,1,1
gamma_p,1,1.00E-06,1,1
ksi_p,1,1.00E-06,1,1
phi_r,1,1.00E-06,1,1
phi_pi,1,1.00E-06,3,1
phi_y,1,1.00E-06,1,1
z_star_bar,1,1.00E-06,1,1
psi_bar,1,1.00E-06,1,1
eta,1,1.00E-06,1,1
n_k,1,1.00E-06,1,1
mu_E,1,1.00E-06,1,1
r_E_bar,1,1.00E-06,2,1
rho_b,1,1.00E-06,0.9,1
rho_g,1,1.00E-06,0.99,1
rho_w,1,1.00E-06,0.9,1
rho_p,1,1.00E-06,0.99,1
rho_r,1,1.00E-06,0.9,1
rho_nu,1,1.00E-06,0.99,1
rho_z,1,1.00E-06,0.9,1
rho_psi,1,1.00E-06,0.9,1
rho_i,1,1.00E-06,0.98,1
rho_efp,1,1.00E-06,0.99,1
rho_nw,1,1.00E-06,0.9,1
sigma_b,2,1.00E+00,5,1
sigma_g,2,1.00E-01,5,1
sigma_w,2,1.00E-01,5,1
sigma_p,2,5.00E-02,5,1
sigma_r,2,5.00E-02,5,1
sigma_nu,2,5.00E-01,5,1
sigma_z,2,5.00E-01,5,1
sigma_psi,2,5.00E-01,5,1
sigma_i,2,5.00E-01,5,1
sigma_efp,2,5.00E-02,5,1
sigma_nw,2,5.00E-01,5,1
